time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.036,0.1661,0.9803,0.0978,0,0,0,0,0,0
0.036,0.1647,0.9818,0.0985,0,0,0,0,0,0
0.037,0.1647,0.9852,0.0963,0,0,0,0,0,0
0.037,0.1629,0.9879,0.0929,0,0,0,0,0,0
0.037,0.1639,0.9884,0.0937,0,0,0,0,0,0
0.037,0.1654,0.9911,0.0961,0,0,0,0,0,0
0.037,0.1681,0.9884,0.0973,0,0,0,0,0,0
0.053,0.1825,0.9908,0.1161,0,0,0,0,0,0
0.054,0.1825,0.9908,0.1117,0,0,0,0,0,0
0.055,0.1822,0.9886,0.1098,0,0,0,0,0,0
0.055,0.182,0.9894,0.1024,0,0,0,0,0,0
0.055,0.1803,0.9894,0.0978,0,0,0,0,0,0
0.056,0.1793,0.9896,0.0917,0,0,0,0,0,0
0.063,0.1796,0.9896,0.0875,0,0,0,0,0,0
0.064,0.1808,0.9889,0.0868,0,0,0,0,0,0
0.064,0.184,0.9916,0.0853,0,0,0,0,0,0
0.064,0.1898,0.9904,0.088,0,0,0,0,0,0
0.069,0.192,0.986,0.0895,0,0,0,0,0,0
0.069,0.1942,0.9833,0.0939,0,0,0,0,0,0
0.074,0.1967,0.9808,0.0944,0,0,0,0,0,0
0.075,0.1927,0.9794,0.0946,0,0,0,0,0,0
0.081,0.1883,0.9759,0.0934,0,0,0,0,0,0
0.081,0.1854,0.9767,0.0893,0,0,0,0,0,0
0.083,0.1803,0.9777,0.0885,0,0,0,0,0,0
0.084,0.1786,0.9752,0.0863,0,0,0,0,0,0
0.088,0.1769,0.9759,0.0856,0,0,0,0,0,0
0.088,0.1766,0.9764,0.0851,0,0,0,0,0,0
0.093,0.1744,0.9764,0.0846,0,0,0,0,0,0
0.094,0.1742,0.9806,0.0883,0,0,0,0,0,0
0.098,0.1715,0.9796,0.0927,0,0,0,0,0,0
0.099,0.1708,0.9779,0.0939,0,0,0,0,0,0
0.103,0.1666,0.9767,0.0966,0,0,0,0,0,0
0.104,0.1625,0.9777,0.101,0,0,0,0,0,0
0.107,0.1612,0.9806,0.0993,0,0,0,0,0,0
0.108,0.1629,0.9784,0.1044,0,0,0,0,0,0
0.113,0.1617,0.9779,0.1051,0,0,0,0,0,0
0.113,0.1629,0.9796,0.1066,0,0,0,0,0,0
0.119,0.1637,0.9789,0.1083,0,0,0,0,0,0
0.119,0.1654,0.9777,0.1098,0,0,0,0,0,0
0.123,0.1651,0.9786,0.1095,0,0,0,0,0,0
0.123,0.1664,0.9794,0.1095,0,0,0,0,0,0
0.128,0.1654,0.9796,0.1108,0,0,0,0,0,0
0.128,0.1656,0.9799,0.1103,0,0,0,0,0,0
0.133,0.1669,0.9806,0.1086,0,0,0,0,0,0
0.134,0.1669,0.9781,0.1093,0,0,0,0,0,0
0.14,0.1708,0.9772,0.1078,0,0,0,0,0,0
0.141,0.1744,0.9745,0.1073,0,0,0,0,0,0
0.142,0.1742,0.9755,0.1068,0,0,0,0,0,0
0.142,0.1776,0.9747,0.1068,0,0,0,0,0,0
0.15,0.1796,0.9737,0.1056,0,0,0,0,0,0
0.151,0.1796,0.9759,0.1039,0,0,0,0,0,0
0.152,0.1793,0.9752,0.102,0,0,0,0,0,0
0.152,0.1761,0.9757,0.1022,0,0,0,0,0,0
0.159,0.1747,0.9767,0.0985,0,0,0,0,0,0
0.16,0.1754,0.9779,0.099,0,0,0,0,0,0
0.163,0.1764,0.9759,0.0961,0,0,0,0,0,0
0.163,0.1756,0.9801,0.0915,0,0,0,0,0,0
0.166,0.1756,0.9789,0.0905,0,0,0,0,0,0
0.166,0.1756,0.9789,0.0905,0,0,0,-0.0014,-0.0146,0.0214
0.166,0.1742,0.9794,0.0893,0,0,0,-0.0014,-0.0146,0.0214
0.171,0.1732,0.9806,0.0866,0,0,0,-0.0014,-0.0146,0.0214
0.171,0.1725,0.9789,0.0834,0,0,0,-0.0014,-0.0146,0.0214
0.172,0.1725,0.9789,0.0834,0,0,0,-0.0014,-0.0146,0.0214
0.175,0.1727,0.9774,0.0846,0,0,0,-0.0014,-0.0146,0.0214
0.176,0.1722,0.9794,0.0836,0,0,0,-0.0014,-0.0146,0.0214
0.181,0.1708,0.9769,0.0827,0,0,0,-0.0014,-0.0146,0.0214
0.181,0.1705,0.9759,0.0849,0,0,0,-0.0014,-0.0146,0.0214
0.186,0.1691,0.9755,0.0819,0,0,0,-0.0014,-0.0146,0.0214
0.187,0.17,0.9764,0.0778,0,0,0,-0.0014,-0.0146,0.0214
0.19,0.1673,0.9762,0.0788,0,0,0,-0.0014,-0.0146,0.0214
0.191,0.1656,0.9767,0.0807,0,0,0,-0.0014,-0.0146,0.0214
0.196,0.1637,0.9755,0.081,0,0,0,-0.0014,-0.0146,0.0214
0.197,0.1649,0.9791,0.0812,0,0,0,-0.0014,-0.0146,0.0214
0.201,0.1634,0.9786,0.0814,0,0,0,-0.0014,-0.0146,0.0214
0.201,0.1642,0.9808,0.0785,0,0,0,-0.0014,-0.0146,0.0214
0.206,0.1632,0.9823,0.08,0,0,0,-0.0014,-0.0146,0.0214
0.206,0.16,0.9794,0.0783,0,0,0,-0.0014,-0.0146,0.0214
0.21,0.1615,0.9811,0.0751,0,0,0,-0.0014,-0.0146,0.0214
0.21,0.1576,0.9811,0.0751,0,0,0,-0.0014,-0.0146,0.0214
0.215,0.1556,0.9801,0.0744,0,0,0,-0.0014,-0.0146,0.0214
0.216,0.1507,0.9784,0.0704,0,0,0,-0.0014,-0.0146,0.0214
0.22,0.149,0.9777,0.0746,0,0,0,-0.0014,-0.0146,0.0214
0.22,0.1429,0.9784,0.0753,0,0,0,-0.0014,-0.0146,0.0214
0.226,0.1385,0.9769,0.0736,0,0,0,-0.0014,-0.0146,0.0214
0.227,0.13,0.9764,0.0726,0,0,0,-0.0014,-0.0146,0.0214
0.23,0.1278,0.975,0.0724,0,0,0,-0.0014,-0.0146,0.0214
0.231,0.1253,0.9728,0.0748,0,0,0,-0.0014,-0.0146,0.0214
0.236,0.1253,0.9728,0.0748,0,0,0,-0.0135,-0.004,0.0583
0.237,0.1199,0.9701,0.078,0,0,0,-0.0135,-0.004,0.0583
0.238,0.1173,0.9684,0.077,0,0,0,-0.0135,-0.004,0.0583
0.24,0.1173,0.9684,0.077,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.24,0.1168,0.9664,0.0726,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.241,0.118,0.965,0.0573,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.245,0.1236,0.9664,0.0441,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.246,0.1331,0.9674,0.0497,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.249,0.1439,0.9713,0.0629,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.25,0.15,0.9811,0.0717,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.255,0.148,0.9901,0.0807,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.257,0.1444,0.9979,0.0873,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.26,0.1388,1.0062,0.0954,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.26,0.1329,1.0138,0.1098,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.264,0.127,1.0241,0.1208,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.264,0.128,1.0341,0.1293,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
0.269,0.1341,1.0412,0.1347,-0.073,-0.0198,0.0379,-0.0135,-0.004,0.0583
