time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.041,-0.5824,0.7527,0.3206,0,0,0,0,0,0
0.041,-0.578,0.7534,0.3211,0,0,0,0,0,0
0.041,-0.5773,0.7519,0.324,0,0,0,0,0,0
0.041,-0.5783,0.7495,0.3245,0,0,0,0,0,0
0.041,-0.5797,0.7468,0.323,0,0,0,0,0,0
0.042,-0.578,0.7473,0.3243,0,0,0,0,0,0
0.042,-0.5807,0.7441,0.3233,0,0,0,0,0,0
0.042,-0.5822,0.7441,0.3233,0,0,0,0,0,0
0.042,-0.5836,0.7448,0.324,0,0,0,0,0,0
0.058,-0.5934,0.736,0.3133,0,0,0,0,0,0
0.058,-0.5961,0.7358,0.3147,0,0,0,0,0,0
0.059,-0.599,0.7358,0.3106,0,0,0,0,0,0
0.059,-0.6032,0.7368,0.3074,0,0,0,0,0,0
0.06,-0.6051,0.7375,0.3074,0,0,0,0,0,0
0.061,-0.6068,0.7341,0.3037,0,0,0,0,0,0
0.062,-0.6073,0.7348,0.3023,0,0,0,0,0,0
0.068,-0.6063,0.7346,0.302,0,0,0,0,0,0
0.069,-0.6083,0.7373,0.3018,0,0,0,0,0,0
0.072,-0.6081,0.7368,0.3011,0,0,0,0,0,0
0.073,-0.6078,0.7385,0.2976,0,0,0,0,0,0
0.076,-0.6071,0.739,0.2974,0,0,0,0,0,0
0.077,-0.6059,0.7419,0.2957,0,0,0,0,0,0
0.082,-0.6061,0.7422,0.2937,0,0,0,0,0,0
0.082,-0.6061,0.7402,0.2952,0,0,0,0,0,0
0.086,-0.6112,0.7392,0.2935,0,0,0,0,0,0
0.087,-0.6122,0.7417,0.293,0,0,0,0,0,0
0.092,-0.6151,0.7431,0.2896,0,0,0,0,0,0
0.092,-0.6164,0.7448,0.293,0,0,0,0,0,0
0.096,-0.6181,0.747,0.2898,0,0,0,0,0,0
0.097,-0.6186,0.7483,0.2901,0,0,0,0,0,0
0.101,-0.619,0.75,0.2869,0,0,0,0,0,0
0.102,-0.6186,0.7522,0.2874,0,0,0,0,0,0
0.106,-0.6186,0.7549,0.2864,0,0,0,0,0,0
0.107,-0.6181,0.7534,0.2854,0,0,0,0,0,0
0.111,-0.6164,0.758,0.2847,0,0,0,0,0,0
0.111,-0.6154,0.758,0.2837,0,0,0,0,0,0
0.116,-0.6139,0.7571,0.2825,0,0,0,0,0,0
0.116,-0.6129,0.7593,0.2808,0,0,0,0,0,0
0.12,-0.6105,0.759,0.282,0,0,0,0,0,0
0.121,-0.6093,0.759,0.2847,0,0,0,0,0,0
0.126,-0.6049,0.7578,0.2808,0,0,0,0,0,0
0.127,-0.6034,0.7558,0.2837,0,0,0,0,0,0
0.13,-0.6015,0.7588,0.2793,0,0,0,0,0,0
0.131,-0.6002,0.7585,0.2793,0,0,0,0,0,0
0.135,-0.6005,0.7583,0.2818,0,0,0,0,0,0
0.136,-0.5983,0.76,0.2827,0,0,0,0,0,0
0.142,-0.5958,0.7595,0.2827,0,0,0,0,0,0
0.142,-0.5983,0.758,0.2825,0,0,0,0,0,0
0.145,-0.598,0.7585,0.2803,0,0,0,0,0,0
0.146,-0.5956,0.7549,0.283,0,0,0,0,0,0
0.15,-0.5973,0.7551,0.2813,0,0,0,0,0,0
0.152,-0.5993,0.7544,0.2844,0,0,0,0,0,0
0.154,-0.6,0.7541,0.2859,0,0,0,0,0,0
0.155,-0.598,0.7539,0.284,0,0,0,0,0,0
0.16,-0.598,0.7539,0.2827,0,0,0,0,0,0
0.161,-0.5978,0.7549,0.2822,0,0,0,0,0,0
0.165,-0.5963,0.7541,0.2815,0,0,0,0,0,0
0.165,-0.5958,0.7549,0.2835,0,0,0,0,0,0
0.17,-0.5939,0.7524,0.283,0,0,0,0,0,0
0.171,-0.5939,0.7524,0.283,0,0,0,0.0338,-0.0279,0.0031
0.172,-0.5944,0.7522,0.2805,0,0,0,0.0338,-0.0279,0.0031
0.174,-0.5917,0.75,0.2808,0,0,0,0.0338,-0.0279,0.0031
0.175,-0.5929,0.7509,0.2835,0,0,0,0.0338,-0.0279,0.0031
0.179,-0.5885,0.7507,0.2803,0,0,0,0.0338,-0.0279,0.0031
0.18,-0.591,0.7497,0.2825,0,0,0,0.0338,-0.0279,0.0031
0.181,-0.591,0.7497,0.2825,0,0,0,0.0338,-0.0279,0.0031
0.185,-0.59,0.749,0.2854,0,0,0,0.0338,-0.0279,0.0031
0.185,-0.5892,0.7473,0.2852,0,0,0,0.0338,-0.0279,0.0031
0.189,-0.5851,0.748,0.2866,0,0,0,0.0338,-0.0279,0.0031
0.19,-0.5834,0.7468,0.2835,0,0,0,0.0338,-0.0279,0.0031
0.195,-0.5834,0.7463,0.2825,0,0,0,0.0338,-0.0279,0.0031
0.195,-0.5848,0.7468,0.2818,0,0,0,0.0338,-0.0279,0.0031
0.199,-0.5878,0.7463,0.2803,0,0,0,0.0338,-0.0279,0.0031
0.199,-0.5883,0.747,0.2796,0,0,0,0.0338,-0.0279,0.0031
0.204,-0.591,0.7475,0.2815,0,0,0,0.0338,-0.0279,0.0031
0.204,-0.5919,0.7487,0.2822,0,0,0,0.0338,-0.0279,0.0031
0.21,-0.5956,0.7483,0.2837,0,0,0,0.0338,-0.0279,0.0031
0.21,-0.5988,0.749,0.2832,0,0,0,0.0338,-0.0279,0.0031
0.213,-0.6019,0.749,0.284,0,0,0,0.0338,-0.0279,0.0031
0.214,-0.6044,0.7502,0.2832,0,0,0,0.0338,-0.0279,0.0031
0.219,-0.6032,0.7517,0.2808,0,0,0,0.0338,-0.0279,0.0031
0.219,-0.6019,0.7536,0.2783,0,0,0,0.0338,-0.0279,0.0031
0.223,-0.5995,0.7553,0.2791,0,0,0,0.0338,-0.0279,0.0031
0.224,-0.5973,0.7556,0.2754,0,0,0,0.0338,-0.0279,0.0031
0.229,-0.5958,0.7593,0.2788,0,0,0,0.0338,-0.0279,0.0031
0.23,-0.5934,0.7595,0.2791,0,0,0,0.0338,-0.0279,0.0031
0.232,-0.5963,0.7583,0.2835,0,0,0,0.0338,-0.0279,0.0031
0.233,-0.5946,0.758,0.2849,0,0,0,0.0338,-0.0279,0.0031
0.238,-0.5936,0.7578,0.2859,0,0,0,0.0338,-0.0279,0.0031
0.238,-0.5936,0.7578,0.2859,0,0,0,0.007,0.0087,0.006
