time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.066,0.2015,0.9769,-0.0086,0,0,0,0,0,0
0.079,0.2039,0.9823,-0.0083,0,0,0,0,0,0
0.08,0.2058,0.9803,-0.0094,0,0,0,0,0,0
0.106,0.2122,0.9803,0.0033,0,0,0,0,0,0
0.116,0.2122,0.9803,0.0033,0,0,0,-0.0644,-0.047,0.1029
0.166,0.2244,0.9827,0.0082,0,0,0,-0.0644,-0.047,0.1029
0.168,0.2235,0.9643,0.0206,0,0,0,-0.0644,-0.047,0.1029
0.169,0.221,0.9692,0.0264,0,0,0,-0.0644,-0.047,0.1029
0.185,0.2171,0.9906,0.0133,0,0,0,-0.0644,-0.047,0.1029
0.186,0.2171,0.9906,0.0133,0,0,0,-0.013,-0.0043,0.0912
0.187,0.2171,0.9906,0.0133,0,0,0,-0.013,-0.0043,0.0912
0.239,0.2097,0.9894,-0.0009,0,0,0,-0.013,-0.0043,0.0912
0.24,0.2306,0.9784,-0.0091,0,0,0,-0.013,-0.0043,0.0912
0.243,0.257,0.964,-0.0058,0,0,0,-0.013,-0.0043,0.0912
0.243,0.257,0.964,-0.0058,0,0,0,0.0102,0.0393,0.0577
0.244,0.257,0.964,-0.0058,0.033,-0.0275,0.1086,0.0102,0.0393,0.0577
0.306,0.2532,0.975,0.0012,0.033,-0.0275,0.1086,0.0102,0.0393,0.0577
0.307,0.2599,0.9839,0.0171,0.033,-0.0275,0.1086,0.0102,0.0393,0.0577
0.308,0.2502,0.9759,0.0522,0.033,-0.0275,0.1086,0.0102,0.0393,0.0577
0.323,0.2502,0.9759,0.0522,0.1169,0.001,-0.059,0.0102,0.0393,0.0577
0.324,0.2718,0.9897,0.072,0.1169,0.001,-0.059,0.0102,0.0393,0.0577
0.324,0.2718,0.9897,0.072,0.1169,0.001,-0.059,0.0802,0.1434,-0.0055
0.372,0.2428,0.9908,0.0311,0.1169,0.001,-0.059,0.0802,0.1434,-0.0055
0.373,0.1723,1.0011,-0.0396,0.1169,0.001,-0.059,0.0802,0.1434,-0.0055
0.38,0.1611,0.9836,-0.0413,0.1169,0.001,-0.059,0.0802,0.1434,-0.0055
0.381,0.1611,0.9836,-0.0413,0.1169,0.001,-0.059,0.1159,0.2971,-0.072
0.382,0.1611,0.9836,-0.0413,0.3095,0.0087,0.314,0.1159,0.2971,-0.072
0.439,0.2013,0.9668,-0.0392,0.3095,0.0087,0.314,0.1159,0.2971,-0.072
0.44,0.173,0.9937,-0.0182,0.3095,0.0087,0.314,0.1159,0.2971,-0.072
0.44,0.1681,0.98,-0.0071,0.3095,0.0087,0.314,0.1159,0.2971,-0.072
0.458,0.1436,0.9807,-0.001,0.3095,0.0087,0.314,0.1159,0.2971,-0.072
0.459,0.1436,0.9807,-0.001,0.3095,0.0087,0.314,0.0679,0.028,-0.0413
0.46,0.1436,0.9807,-0.001,-0.2472,0.0531,-0.1967,0.0679,0.028,-0.0413
0.506,0.1626,0.9918,0.0232,-0.2472,0.0531,-0.1967,0.0679,0.028,-0.0413
0.507,0.059,1.0202,0.0493,-0.2472,0.0531,-0.1967,0.0679,0.028,-0.0413
0.516,0.059,1.0202,0.0493,-0.2472,0.0531,-0.1967,0.1154,-0.1291,0.0017
0.517,0.1842,0.9768,0.0447,-0.2472,0.0531,-0.1967,0.1154,-0.1291,0.0017
0.518,0.1842,0.9768,0.0447,-0.4345,0.0143,-0.021,0.1154,-0.1291,0.0017
0.572,0.05,1.0452,-0.0185,-0.4345,0.0143,-0.021,0.1154,-0.1291,0.0017
0.573,0.1873,1.0215,-0.0008,-0.4345,0.0143,-0.021,0.1154,-0.1291,0.0017
0.581,0.1523,0.9883,-0.0567,-0.4345,0.0143,-0.021,0.1154,-0.1291,0.0017
0.594,0.1523,0.9883,-0.0567,-0.4345,0.0143,-0.021,0.1653,-0.0226,0.0128
0.596,0.1512,1.0407,-0.0557,-0.4345,0.0143,-0.021,0.1653,-0.0226,0.0128
0.596,0.1512,1.0407,-0.0557,-0.6902,0.1625,0.4303,0.1653,-0.0226,0.0128
0.639,0.3033,1.0065,-0.0567,-0.6902,0.1625,0.4303,0.1653,-0.0226,0.0128
0.64,0.1938,0.9762,0.0388,-0.6902,0.1625,0.4303,0.1653,-0.0226,0.0128
0.654,0.1938,0.9762,0.0388,-0.6902,0.1625,0.4303,0.2166,0.1018,0.0727
0.656,0.2903,0.9469,-0.0132,-0.6902,0.1625,0.4303,0.2166,0.1018,0.0727
0.657,0.2903,0.9469,-0.0132,-0.547,0.345,-0.05,0.2166,0.1018,0.0727
0.705,0.3292,0.9673,-0.0443,-0.547,0.345,-0.05,0.2166,0.1018,0.0727
0.707,0.1742,0.9713,-0.0237,-0.547,0.345,-0.05,0.2166,0.1018,0.0727
0.732,0.1742,0.9713,-0.0237,-0.547,0.345,-0.05,0.283,0.3086,0.0685
0.734,0.2167,0.979,-0.0389,-0.547,0.345,-0.05,0.283,0.3086,0.0685
0.735,0.2346,0.9593,-0.0406,-0.547,0.345,-0.05,0.283,0.3086,0.0685
0.735,0.2346,0.9593,-0.0406,0.6658,-0.0935,0.246,0.283,0.3086,0.0685
0.772,0.1595,0.9725,-0.0519,0.6658,-0.0935,0.246,0.283,0.3086,0.0685
0.773,0.1642,0.9526,-0.0814,0.6658,-0.0935,0.246,0.283,0.3086,0.0685
0.79,0.1642,0.9526,-0.0814,0.6658,-0.0935,0.246,0.2622,0.2507,0.1783
0.791,0.2709,0.9603,-0.1527,0.6658,-0.0935,0.246,0.2622,0.2507,0.1783
0.792,0.2709,0.9603,-0.1527,-0.0396,-0.1118,0.1598,0.2622,0.2507,0.1783
0.83,0.1441,0.9624,-0.125,-0.0396,-0.1118,0.1598,0.2622,0.2507,0.1783
0.839,0.1527,0.9549,-0.0968,-0.0396,-0.1118,0.1598,0.2622,0.2507,0.1783
0.868,0.1527,0.9549,-0.0968,-0.4267,-0.1072,-0.354,0.2622,0.2507,0.1783
0.869,0.1527,0.9549,-0.0968,-0.4267,-0.1072,-0.354,0.1755,0.0713,0.2862
