time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.038,0.1519,0.9835,0.0878,0,0,0,0,0,0
0.038,0.1512,0.9816,0.0831,0,0,0,0,0,0
0.038,0.151,0.9833,0.0827,0,0,0,0,0,0
0.038,0.1498,0.9847,0.081,0,0,0,0,0,0
0.038,0.1529,0.984,0.0788,0,0,0,0,0,0
0.038,0.1515,0.9857,0.0746,0,0,0,0,0,0
0.039,0.1478,0.9864,0.0751,0,0,0,0,0,0
0.052,0.1544,0.9828,0.0746,0,0,0,0,0,0
0.053,0.1546,0.9852,0.078,0,0,0,0,0,0
0.053,0.1561,0.9847,0.078,0,0,0,0,0,0
0.053,0.1566,0.985,0.0768,0,0,0,0,0,0
0.054,0.1559,0.9855,0.0778,0,0,0,0,0,0
0.054,0.1556,0.9847,0.0783,0,0,0,0,0,0
0.063,0.1563,0.9818,0.0775,0,0,0,0,0,0
0.064,0.1571,0.9833,0.081,0,0,0,0,0,0
0.064,0.1588,0.9816,0.0807,0,0,0,0,0,0
0.065,0.161,0.9796,0.0836,0,0,0,0,0,0
0.069,0.1615,0.9801,0.0841,0,0,0,0,0,0
0.07,0.1629,0.9796,0.0844,0,0,0,0,0,0
0.073,0.1671,0.9803,0.0849,0,0,0,0,0,0
0.074,0.1681,0.9806,0.0841,0,0,0,0,0,0
0.078,0.1717,0.9835,0.0858,0,0,0,0,0,0
0.079,0.1756,0.9808,0.0861,0,0,0,0,0,0
0.083,0.1778,0.9833,0.0878,0,0,0,0,0,0
0.083,0.1771,0.9811,0.0897,0,0,0,0,0,0
0.088,0.1791,0.9801,0.0907,0,0,0,0,0,0
0.088,0.1793,0.9794,0.09,0,0,0,0,0,0
0.093,0.1769,0.9806,0.0912,0,0,0,0,0,0
0.094,0.1764,0.9796,0.0897,0,0,0,0,0,0
0.097,0.1769,0.9791,0.0897,0,0,0,0,0,0
0.098,0.1756,0.9823,0.0875,0,0,0,0,0,0
0.103,0.1752,0.9821,0.0875,0,0,0,0,0,0
0.104,0.1749,0.9821,0.0873,0,0,0,0,0,0
0.107,0.1734,0.9823,0.0883,0,0,0,0,0,0
0.108,0.1737,0.9835,0.0875,0,0,0,0,0,0
0.114,0.1732,0.984,0.0871,0,0,0,0,0,0
0.115,0.1698,0.983,0.0846,0,0,0,0,0,0
0.117,0.1671,0.983,0.0853,0,0,0,0,0,0
0.117,0.1632,0.9857,0.0846,0,0,0,0,0,0
0.123,0.1607,0.9872,0.0856,0,0,0,0,0,0
0.124,0.1573,0.9884,0.0873,0,0,0,0,0,0
0.13,0.1517,0.9891,0.0858,0,0,0,0,0,0
0.131,0.1502,0.9884,0.0827,0,0,0,0,0,0
