time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.037,-0.15,0.996,-0.0947,0,0,0,0,0,0
0.038,-0.1478,0.9962,-0.0942,0,0,0,0,0,0
0.038,-0.15,0.9948,-0.0952,0,0,0,0,0,0
0.038,-0.1527,0.9965,-0.0942,0,0,0,0,0,0
0.038,-0.1617,1.0001,-0.0927,0,0,0,0,0,0
0.038,-0.1737,1.0021,-0.0896,0,0,0,0,0,0
0.038,-0.1837,1.0021,-0.0866,0,0,0,0,0,0
0.038,-0.191,1.0021,-0.0857,0,0,0,0,0,0
0.051,-0.0989,0.983,-0.105,0,0,0,0,0,0
0.051,-0.0909,0.9845,-0.113,0,0,0,0,0,0
0.051,-0.0875,0.986,-0.1211,0,0,0,0,0,0
0.057,-0.0816,0.9872,-0.1272,0,0,0,0,0,0
0.057,-0.076,0.9857,-0.1267,0,0,0,0,0,0
0.061,-0.0711,0.9857,-0.1255,0,0,0,0,0,0
0.061,-0.0689,0.9813,-0.1223,0,0,0,0,0,0
0.067,-0.0645,0.9796,-0.1172,0,0,0,0,0,0
0.067,-0.0628,0.9774,-0.1138,0,0,0,0,0,0
0.071,-0.066,0.9733,-0.1135,0,0,0,0,0,0
0.072,-0.0696,0.9706,-0.1108,0,0,0,0,0,0
0.076,-0.0777,0.9691,-0.1135,0,0,0,0,0,0
0.076,-0.0875,0.9713,-0.1147,0,0,0,0,0,0
0.081,-0.0972,0.9715,-0.1152,0,0,0,0,0,0
0.081,-0.1094,0.9742,-0.1172,0,0,0,0,0,0
0.086,-0.1175,0.9799,-0.1162,0,0,0,0,0,0
0.087,-0.127,0.984,-0.113,0,0,0,0,0,0
0.092,-0.138,0.9838,-0.1086,0,0,0,0,0,0
0.093,-0.1446,0.9857,-0.104,0,0,0,0,0,0
0.097,-0.1542,0.9857,-0.1001,0,0,0,0,0,0
0.097,-0.1578,0.9838,-0.1001,0,0,0,0,0,0
0.102,-0.1637,0.9808,-0.0989,0,0,0,0,0,0
0.102,-0.1664,0.9813,-0.0984,0,0,0,0,0,0
0.105,-0.1708,0.9821,-0.1025,0,0,0,0,0,0
0.106,-0.1705,0.9821,-0.1057,0,0,0,0,0,0
0.11,-0.1678,0.9843,-0.1032,0,0,0,0,0,0
0.111,-0.1634,0.984,-0.1042,0,0,0,0,0,0
0.116,-0.1561,0.985,-0.1042,0,0,0,0,0,0
0.117,-0.1527,0.9838,-0.1032,0,0,0,0,0,0
0.121,-0.1441,0.9835,-0.1032,0,0,0,0,0,0
0.122,-0.1397,0.984,-0.105,0,0,0,0,0,0
0.126,-0.1358,0.9838,-0.0998,0,0,0,0,0,0
0.126,-0.13,0.9833,-0.0986,0,0,0,0,0,0
0.13,-0.1248,0.9813,-0.0949,0,0,0,0,0,0
0.13,-0.12,0.9816,-0.0957,0,0,0,0,0,0
0.137,-0.1192,0.9777,-0.0935,0,0,0,0,0,0
0.137,-0.1165,0.9774,-0.0923,0,0,0,0,0,0
0.14,-0.1173,0.9777,-0.0923,0,0,0,0,0,0
0.141,-0.1175,0.9786,-0.092,0,0,0,0,0,0
0.145,-0.1209,0.9806,-0.0901,0,0,0,0,0,0
0.145,-0.1231,0.9821,-0.0876,0,0,0,0,0,0
0.149,-0.1256,0.983,-0.0854,0,0,0,0,0,0
0.149,-0.1268,0.984,-0.0832,0,0,0,0,0,0
0.154,-0.1336,0.9828,-0.0832,0,0,0,0,0,0
0.155,-0.1378,0.9845,-0.0837,0,0,0,0,0,0
0.16,-0.1432,0.9867,-0.0805,0,0,0,0,0,0
0.161,-0.1405,0.9874,-0.0832,0,0,0,0,0,0
0.165,-0.1436,0.9882,-0.0886,0,0,0,0,0,0
0.166,-0.1402,0.9896,-0.0967,0,0,0,0,0,0
0.169,-0.1402,0.9896,-0.0967,0,0,0,0.0255,-0.0181,0.026
0.17,-0.1368,0.9943,-0.1047,0,0,0,0.0255,-0.0181,0.026
0.17,-0.1358,0.996,-0.1064,0,0,0,0.0255,-0.0181,0.026
0.174,-0.1314,0.9955,-0.1079,0,0,0,0.0255,-0.0181,0.026
0.175,-0.1239,0.9979,-0.1074,0,0,0,0.0255,-0.0181,0.026
0.175,-0.1239,0.9979,-0.1074,0,0,0,0.0255,-0.0181,0.026
0.18,-0.1217,0.9935,-0.1106,0,0,0,0.0255,-0.0181,0.026
0.18,-0.1173,0.9904,-0.1101,0,0,0,0.0255,-0.0181,0.026
0.184,-0.1153,0.9894,-0.1074,0,0,0,0.0255,-0.0181,0.026
0.185,-0.1143,0.9882,-0.1086,0,0,0,0.0255,-0.0181,0.026
0.188,-0.1119,0.9882,-0.1069,0,0,0,0.0255,-0.0181,0.026
0.189,-0.1085,0.986,-0.1103,0,0,0,0.0255,-0.0181,0.026
0.193,-0.1055,0.9864,-0.1125,0,0,0,0.0255,-0.0181,0.026
0.194,-0.1036,0.9864,-0.116,0,0,0,0.0255,-0.0181,0.026
0.199,-0.1043,0.9867,-0.1174,0,0,0,0.0255,-0.0181,0.026
0.199,-0.108,0.9874,-0.116,0,0,0,0.0255,-0.0181,0.026
0.204,-0.1141,0.9891,-0.113,0,0,0,0.0255,-0.0181,0.026
0.205,-0.1178,0.9879,-0.1116,0,0,0,0.0255,-0.0181,0.026
0.208,-0.1217,0.9869,-0.1054,0,0,0,0.0255,-0.0181,0.026
0.208,-0.1246,0.986,-0.104,0,0,0,0.0255,-0.0181,0.026
0.213,-0.1261,0.9825,-0.1008,0,0,0,0.0255,-0.0181,0.026
0.214,-0.1251,0.9835,-0.102,0,0,0,0.0255,-0.0181,0.026
0.219,-0.1246,0.983,-0.1006,0,0,0,0.0255,-0.0181,0.026
0.219,-0.127,0.985,-0.1006,0,0,0,0.0255,-0.0181,0.026
0.223,-0.1246,0.9874,-0.0998,0,0,0,0.0255,-0.0181,0.026
0.224,-0.1248,0.9864,-0.103,0,0,0,0.0255,-0.0181,0.026
0.227,-0.1241,0.9864,-0.1067,0,0,0,0.0255,-0.0181,0.026
0.228,-0.1202,0.9847,-0.1086,0,0,0,0.0255,-0.0181,0.026
0.233,-0.1202,0.9833,-0.1128,0,0,0,0.0255,-0.0181,0.026
0.233,-0.1185,0.9818,-0.1138,0,0,0,0.0255,-0.0181,0.026
0.238,-0.1165,0.9803,-0.1145,0,0,0,0.0255,-0.0181,0.026
0.238,-0.1165,0.9803,-0.1145,0,0,0,0.0225,-0.0172,0.0284
0.239,-0.1168,0.9794,-0.1157,0,0,0,0.0225,-0.0172,0.0284
0.243,-0.1168,0.9794,-0.1157,-0.1348,0.0222,0.0892,0.0225,-0.0172,0.0284
0.243,-0.1165,0.9789,-0.1191,-0.1348,0.0222,0.0892,0.0225,-0.0172,0.0284
