time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.045,0.1151,0.9891,0.0929,0,0,0,0,0,0
0.046,0.1199,0.9911,0.0902,0,0,0,0,0,0
0.046,0.1234,0.9918,0.088,0,0,0,0,0,0
0.046,0.1263,0.9899,0.0846,0,0,0,0,0,0
0.046,0.1265,0.9894,0.0861,0,0,0,0,0,0
0.046,0.1331,0.9879,0.0829,0,0,0,0,0,0
0.047,0.1346,0.9864,0.0814,0,0,0,0,0,0
0.047,0.139,0.9864,0.0778,0,0,0,0,0,0
0.047,0.1422,0.9867,0.0756,0,0,0,0,0,0
0.066,0.1456,0.9864,0.0704,0,0,0,0,0,0
0.066,0.1446,0.9884,0.0675,0,0,0,0,0,0
0.067,0.1454,0.9889,0.0643,0,0,0,0,0,0
0.067,0.1454,0.9906,0.0631,0,0,0,0,0,0
0.068,0.1429,0.9943,0.0641,0,0,0,0,0,0
0.068,0.1429,0.9935,0.0656,0,0,0,0,0,0
0.069,0.1427,0.9918,0.0651,0,0,0,0,0,0
0.069,0.1446,0.9938,0.068,0,0,0,0,0,0
0.07,0.1434,0.9904,0.0714,0,0,0,0,0,0
0.07,0.1429,0.9904,0.0709,0,0,0,0,0,0
0.076,0.1419,0.9894,0.0724,0,0,0,0,0,0
0.077,0.1397,0.9877,0.0741,0,0,0,0,0,0
0.08,0.1375,0.9882,0.0741,0,0,0,0,0,0
0.08,0.1353,0.9886,0.0761,0,0,0,0,0,0
0.084,0.1366,0.9884,0.078,0,0,0,0,0,0
0.085,0.1361,0.9869,0.078,0,0,0,0,0,0
0.089,0.1366,0.9882,0.0778,0,0,0,0,0,0
0.09,0.1385,0.9901,0.0817,0,0,0,0,0,0
0.094,0.1366,0.9884,0.0824,0,0,0,0,0,0
0.094,0.1341,0.9899,0.0822,0,0,0,0,0,0
0.099,0.1353,0.9879,0.0807,0,0,0,0,0,0
0.1,0.1353,0.9877,0.0792,0,0,0,0,0,0
0.103,0.1358,0.9855,0.0807,0,0,0,0,0,0
0.104,0.1351,0.9857,0.0802,0,0,0,0,0,0
0.109,0.1339,0.9843,0.0768,0,0,0,0,0,0
0.109,0.1378,0.9818,0.077,0,0,0,0,0,0
0.113,0.139,0.9813,0.0778,0,0,0,0,0,0
0.113,0.1405,0.9806,0.0766,0,0,0,0,0,0
0.119,0.1432,0.9808,0.0785,0,0,0,0,0,0
0.12,0.1466,0.9825,0.0805,0,0,0,0,0,0
0.124,0.1478,0.9816,0.078,0,0,0,0,0,0
0.125,0.1488,0.9828,0.0768,0,0,0,0,0,0
0.129,0.1517,0.9835,0.0773,0,0,0,0,0,0
0.13,0.1546,0.9843,0.078,0,0,0,0,0,0
0.133,0.1549,0.985,0.0785,0,0,0,0,0,0
0.133,0.1541,0.9828,0.077,0,0,0,0,0,0
0.138,0.1561,0.9838,0.0751,0,0,0,0,0,0
0.139,0.1551,0.984,0.0724,0,0,0,0,0,0
0.143,0.1537,0.9838,0.0719,0,0,0,0,0,0
0.144,0.1527,0.984,0.0729,0,0,0,0,0,0
0.147,0.1539,0.9845,0.0734,0,0,0,0,0,0
0.148,0.1529,0.9838,0.0746,0,0,0,0,0,0
0.153,0.1512,0.985,0.0761,0,0,0,0,0,0
0.154,0.1502,0.9864,0.0736,0,0,0,0,0,0
0.157,0.148,0.9889,0.0724,0,0,0,0,0,0
0.158,0.1468,0.9877,0.0736,0,0,0,0,0,0
0.165,0.1454,0.9911,0.0736,0,0,0,0,0,0
0.166,0.1419,0.9918,0.0739,0,0,0,0,0,0
0.168,0.1397,0.9938,0.0729,0,0,0,0,0,0
0.168,0.1358,0.993,0.0714,0,0,0,0,0,0
0.172,0.1322,0.9928,0.0761,0,0,0,0,0,0
0.174,0.1309,0.9943,0.0773,0,0,0,0,0,0
0.175,0.1309,0.9943,0.0773,0,0,0,-0.0075,0.0264,-0.0209
0.177,0.129,0.9923,0.0788,0,0,0,-0.0075,0.0264,-0.0209
0.178,0.1278,0.9916,0.0797,0,0,0,-0.0075,0.0264,-0.0209
0.182,0.127,0.9935,0.0797,0,0,0,-0.0075,0.0264,-0.0209
0.183,0.1246,0.9923,0.0792,0,0,0,-0.0075,0.0264,-0.0209
0.183,0.1246,0.9923,0.0792,0,0,0,-0.0075,0.0264,-0.0209
0.188,0.1248,0.9933,0.079,0,0,0,-0.0075,0.0264,-0.0209
0.188,0.1234,0.9948,0.0792,0,0,0,-0.0075,0.0264,-0.0209
0.192,0.1221,0.9952,0.0805,0,0,0,-0.0075,0.0264,-0.0209
0.193,0.1209,0.996,0.0831,0,0,0,-0.0075,0.0264,-0.0209
0.198,0.1185,0.997,0.08,0,0,0,-0.0075,0.0264,-0.0209
0.199,0.1204,0.997,0.0834,0,0,0,-0.0075,0.0264,-0.0209
0.202,0.1187,0.9967,0.0817,0,0,0,-0.0075,0.0264,-0.0209
0.202,0.1195,0.9952,0.0783,0,0,0,-0.0075,0.0264,-0.0209
0.208,0.1234,0.9948,0.0758,0,0,0,-0.0075,0.0264,-0.0209
0.209,0.1253,0.9938,0.0756,0,0,0,-0.0075,0.0264,-0.0209
0.212,0.1287,0.9948,0.0744,0,0,0,-0.0075,0.0264,-0.0209
0.213,0.1317,0.9955,0.0763,0,0,0,-0.0075,0.0264,-0.0209
0.216,0.1353,0.9943,0.077,0,0,0,-0.0075,0.0264,-0.0209
0.217,0.14,0.9935,0.0795,0,0,0,-0.0075,0.0264,-0.0209
0.221,0.1432,0.9933,0.0783,0,0,0,-0.0075,0.0264,-0.0209
0.222,0.1478,0.9928,0.0758,0,0,0,-0.0075,0.0264,-0.0209
0.227,0.1495,0.9918,0.0731,0,0,0,-0.0075,0.0264,-0.0209
0.228,0.1517,0.9904,0.0731,0,0,0,-0.0075,0.0264,-0.0209
0.232,0.1529,0.9884,0.0707,0,0,0,-0.0075,0.0264,-0.0209
0.232,0.1539,0.9882,0.0717,0,0,0,-0.0075,0.0264,-0.0209
0.237,0.1524,0.9864,0.0712,0,0,0,-0.0075,0.0264,-0.0209
0.238,0.1529,0.9852,0.0695,0,0,0,-0.0075,0.0264,-0.0209
0.243,0.1507,0.9845,0.0668,0,0,0,-0.0075,0.0264,-0.0209
0.244,0.15,0.9847,0.0656,0,0,0,-0.0075,0.0264,-0.0209
0.245,0.15,0.9847,0.0656,0,0,0,-0.0183,0.012,-0.0406
0.246,0.1485,0.9855,0.0668,0,0,0,-0.0183,0.012,-0.0406
0.246,0.149,0.9847,0.0653,0,0,0,-0.0183,0.012,-0.0406
0.252,0.1476,0.9828,0.0673,0,0,0,-0.0183,0.012,-0.0406
0.253,0.1468,0.9833,0.0663,0,0,0,-0.0183,0.012,-0.0406
0.254,0.1468,0.9833,0.0663,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.256,0.1444,0.984,0.0624,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.256,0.1407,0.9869,0.0585,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.261,0.138,0.9857,0.0638,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.261,0.1351,0.9869,0.0658,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.265,0.1312,0.9869,0.0636,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.266,0.1287,0.9901,0.0619,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.27,0.1265,0.9911,0.0619,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.27,0.127,0.9904,0.0653,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.276,0.1243,0.9908,0.0675,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.277,0.1229,0.9923,0.0668,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.28,0.1199,0.9908,0.0665,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.281,0.1214,0.9889,0.0673,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.286,0.1185,0.9879,0.0692,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.286,0.1187,0.9867,0.068,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.29,0.1177,0.9882,0.0682,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.29,0.1185,0.9894,0.0673,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.294,0.1155,0.9889,0.07,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.295,0.1155,0.9899,0.0685,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.3,0.1143,0.9891,0.0729,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.301,0.1143,0.9899,0.0719,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.305,0.1126,0.9894,0.0712,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.306,0.1112,0.9896,0.0717,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.31,0.1112,0.9877,0.0746,0.0409,-0.0063,0.0009,-0.0183,0.012,-0.0406
0.31,0.1112,0.9877,0.0746,0.0409,-0.0063,0.0009,-0.0314,0.0748,-0.0422
0.311,0.1114,0.9874,0.0744,0.0409,-0.0063,0.0009,-0.0314,0.0748,-0.0422
0.314,0.1119,0.9872,0.0758,0.0409,-0.0063,0.0009,-0.0314,0.0748,-0.0422
0.315,0.1116,0.9877,0.0744,0.0409,-0.0063,0.0009,-0.0314,0.0748,-0.0422
0.32,0.1116,0.9877,0.0744,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.321,0.1121,0.9855,0.0753,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.321,0.1155,0.9864,0.0795,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.324,0.1155,0.986,0.0797,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.325,0.1175,0.9872,0.0795,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.331,0.1212,0.9867,0.0839,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.332,0.1204,0.9879,0.0853,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.333,0.1219,0.9864,0.0863,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.334,0.1214,0.9867,0.0856,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.338,0.1243,0.9882,0.0866,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.338,0.1246,0.9884,0.0883,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.344,0.1265,0.9872,0.0866,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.344,0.13,0.986,0.0895,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.349,0.13,0.9857,0.0895,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.349,0.1322,0.9838,0.0871,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
0.353,0.1353,0.984,0.0873,-0.0003,0.0207,-0.0289,-0.0314,0.0748,-0.0422
