time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.039,0.01,0.9965,-0.0883,0,0,0,0,0,0
0.04,0.0078,0.9974,-0.0839,0,0,0,0,0,0
0.04,0.0068,1.0001,-0.0771,0,0,0,0,0,0
0.04,0.0032,1.0001,-0.0708,0,0,0,0,0,0
0.04,-0.0022,0.9996,-0.0651,0,0,0,0,0,0
0.04,-0.0002,0.9992,-0.0605,0,0,0,0,0,0
0.041,0.0005,0.9989,-0.0576,0,0,0,0,0,0
0.055,0.0227,0.9928,-0.0563,0,0,0,0,0,0
0.057,0.0222,0.9933,-0.0571,0,0,0,0,0,0
0.057,0.0215,0.9957,-0.0559,0,0,0,0,0,0
0.058,0.0173,0.996,-0.0568,0,0,0,0,0,0
0.058,0.0166,0.9948,-0.0585,0,0,0,0,0,0
0.065,0.0147,0.9933,-0.06,0,0,0,0,0,0
0.065,0.0112,0.9906,-0.0607,0,0,0,0,0,0
0.069,0.0081,0.9891,-0.062,0,0,0,0,0,0
0.07,0.0032,0.9864,-0.0617,0,0,0,0,0,0
0.072,0.0007,0.9869,-0.0637,0,0,0,0,0,0
0.073,-0.0027,0.9872,-0.0659,0,0,0,0,0,0
0.077,-0.0044,0.9864,-0.0676,0,0,0,0,0,0
0.077,-0.0056,0.9864,-0.0695,0,0,0,0,0,0
0.082,-0.0071,0.9867,-0.0734,0,0,0,0,0,0
0.083,-0.0039,0.985,-0.0754,0,0,0,0,0,0
0.087,-0.0056,0.9845,-0.0766,0,0,0,0,0,0
0.088,-0.0078,0.9847,-0.073,0,0,0,0,0,0
0.093,-0.0073,0.9821,-0.0742,0,0,0,0,0,0
0.094,-0.0095,0.9852,-0.0778,0,0,0,0,0,0
0.097,-0.0115,0.9852,-0.0805,0,0,0,0,0,0
0.098,-0.0147,0.986,-0.0847,0,0,0,0,0,0
0.101,-0.0127,0.9886,-0.0879,0,0,0,0,0,0
0.101,-0.011,0.9896,-0.0891,0,0,0,0,0,0
0.107,-0.0112,0.9906,-0.0881,0,0,0,0,0,0
0.107,-0.011,0.9926,-0.0859,0,0,0,0,0,0
0.111,-0.0105,0.9908,-0.0822,0,0,0,0,0,0
0.111,-0.0122,0.9889,-0.0791,0,0,0,0,0,0
0.117,-0.0122,0.9872,-0.0703,0,0,0,0,0,0
0.117,-0.0159,0.9838,-0.0603,0,0,0,0,0,0
0.121,-0.0181,0.9838,-0.0529,0,0,0,0,0,0
0.121,-0.0191,0.9801,-0.0471,0,0,0,0,0,0
