time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
4.365,0.041109583981696236,1.1707135216612097,0.12353277279276173,4.780574213258874,-4.533235793693895,1.14528160005185,1.3258480992860722,0.06301943798397812,-4.579564180003693,1,left
4.369,0.03542132174839508,1.178085198119641,0.12327307788525534,4.774570788615962,-4.429775425316431,1.1756440683803415,1.317376305137853,0.04935927630508426,-4.546851261548948,1,left
4.37,0.0298886448698316,1.1852215675158702,0.12296616161761713,4.76709838881347,-4.324710457117404,1.2059048271165578,1.3084049468011,0.03539896240044812,-4.512236322231915,1,left
4.372,0.0245157001897776,1.19212134383261,0.12261055325088996,4.758160176366155,-4.218117162915595,1.2360402423525592,1.298943826305571,0.021145600691801745,-4.4757376024372135,1,left
4.373,0.019306543390203983,1.1987834583107169,0.12220476761565753,4.747760008278648,-4.110072578246839,1.2660269910088477,1.2890031347102322,0.006606303988857777,-4.437374983170496,1,left
4.377,0.014265123311359268,1.2052070556896455,0.12174731117819765,4.735902468218862,-4.00065446203032,1.2958421016222725,1.278593444358993,-0.00821180062557937,-4.397169989989968,1,left
4.378,0.009395266084405196,1.2113914897718812,0.12123668867904415,4.722592899121899,-3.889941258072939,1.3254629913532099,1.2677257006250484,-0.02330156416924896,-4.355145794270409,1,left
4.382,0.00470065922309198,1.2173363183518775,0.12067141027497397,4.707837436194625,-3.7780120561015136,1.35486749929812,1.2564112131152958,-0.03865580643456824,-4.311327211689528,1,left
4.3839999999999995,0.00018483584576597635,1.2230412975853704,0.12004999907637998,4.691643040286834,-3.6649465520086713,1.3840339161930753,1.2446616463049454,-0.05426730500581867,-4.265740697821202,1,left
4.387,-0.004148840777527634,1.2285063759135884,0.11937099893378747,4.674017531590802,-3.5508250069945437,1.4129410105933098,1.2324890095711278,-0.07012878266271738,-4.218414340714936,1,left
4.388,-0.008297192136013461,1.2337316876897757,0.11863298229695525,4.654969623626827,-3.435728205282901,1.4415680516132137,1.219905646593021,-0.08623289321446713,-4.169377850335711,1,left
